match;Date;season;Div;HomeTeam;AwayTeam;FTHG;FTAG;label;prediction;draw;home;away
15751;2020-01-01;T19-20;E0;Brighton;Chelsea;1;1;0,0;2;0,2472;0,201;0,5518
15757;2020-01-01;T19-20;E0;Norwich;Crystal Palace;1;1;0,0;1;0,3033;0,3991;0,2976
15754;2020-01-01;T19-20;E0;Southampton;Tottenham;1;0;1,0;2;0,2533;0,2593;0,4874
15753;2020-01-01;T19-20;E0;Newcastle;Leicester;0;3;2,0;1;0,2949;0,4253;0,2798
15756;2020-01-01;T19-20;E0;Man City;Everton;2;1;1,0;1;0,1659;0,7385;0,0956
15759;2020-01-01;T19-20;E0;Arsenal;Man United;2;0;1,0;1;0,3328;0,5241;0,1431
15758;2020-01-01;T19-20;E0;West Ham;Bournemouth;4;0;1,0;1;0,2981;0,3969;0,305
15752;2020-01-01;T19-20;E0;Burnley;Aston Villa;1;2;2,0;1;0,3152;0,4043;0,2805
15755;2020-01-01;T19-20;E0;Watford;Wolves;2;1;1,0;1;0,3089;0,4124;0,2787
15760;2020-01-02;T19-20;E0;Liverpool;Sheffield United;2;0;1,0;1;0,1436;0,7964;0,0601
44309;2020-01-03;T19-20;SP1;Valladolid;Leganes;2;2;0,0;1;0,2923;0,4073;0,3004
44310;2020-01-03;T19-20;SP1;Sevilla;Ath Bilbao;1;1;0,0;1;0,1985;0,6862;0,1153
56130;2020-01-03;T19-20;SP2;Extremadura;Alcorcon;0;0;0,0;1;0,2955;0,4331;0,2714
56135;2020-01-04;T19-20;SP2;Elche;Huesca;1;1;0,0;1;0,2517;0,5887;0,1596
56134;2020-01-04;T19-20;SP2;Tenerife;Albacete;4;2;1,0;1;0,2521;0,5822;0,1657
56136;2020-01-04;T19-20;SP2;Mirandes;Santander;0;0;0,0;1;0,2996;0,4018;0,2987
56133;2020-01-04;T19-20;SP2;Lugo;Almeria;0;4;2,0;2;0,3018;0,2943;0,404
56131;2020-01-04;T19-20;SP2;Fuenlabrada;Las Palmas;0;0;0,0;1;0,2664;0,5565;0,1771
56132;2020-01-04;T19-20;SP2;Ponferradina;Cadiz;0;0;0,0;2;0,292;0,2854;0,4227
44312;2020-01-04;T19-20;SP1;Getafe;Real Madrid;0;3;2,0;2;0,2451;0,2112;0,5438
44311;2020-01-04;T19-20;SP1;Valencia;Eibar;1;0;1,0;1;0,1727;0,7295;0,0978
44314;2020-01-04;T19-20;SP1;Espanol;Barcelona;2;2;0,0;2;0,2648;0,184;0,5512
44313;2020-01-04;T19-20;SP1;Ath Madrid;Levante;2;1;1,0;1;0,1961;0,703;0,1009
44316;2020-01-05;T19-20;SP1;Sociedad;Villarreal;1;2;2,0;1;0,2929;0,3554;0,3517
44317;2020-01-05;T19-20;SP1;Alaves;Betis;1;1;0,0;1;0,3062;0,4296;0,2641
44318;2020-01-05;T19-20;SP1;Celta;Osasuna;1;1;0,0;1;0,295;0,4678;0,2373
34313;2020-01-05;T19-20;I1;Roma;Torino;0;2;2,0;1;0,1456;0,7886;0,0658
34311;2020-01-05;T19-20;I1;Spal;Verona;0;2;2,0;1;0,2974;0,4463;0,2564
34310;2020-01-05;T19-20;I1;Brescia;Lazio;1;2;2,0;2;0,2492;0,2453;0,5055
56137;2020-01-05;T19-20;SP2;Numancia;La Coruna;0;1;2,0;1;0,2792;0,4804;0,2404
56138;2020-01-05;T19-20;SP2;Vallecano;Girona;1;0;1,0;1;0,2629;0,55;0,187
56139;2020-01-05;T19-20;SP2;Oviedo;Malaga;1;1;0,0;1;0,3008;0,4452;0,254
44315;2020-01-05;T19-20;SP1;Granada;Mallorca;1;0;1,0;1;0,309;0,382;0,3091
34312;2020-01-05;T19-20;I1;Genoa;Sassuolo;2;1;1,0;1;0,295;0,4278;0,2773
34318;2020-01-06;T19-20;I1;Lecce;Udinese;0;1;2,0;1;0,3083;0,3737;0,3181
34317;2020-01-06;T19-20;I1;Milan;Sampdoria;0;0;0,0;1;0,1467;0,7809;0,0724
34316;2020-01-06;T19-20;I1;Juventus;Cagliari;4;0;1,0;1;0,216;0,7312;0,0528
34319;2020-01-06;T19-20;I1;Napoli;Inter;1;3;2,0;1;0,2878;0,4126;0,2995
34315;2020-01-06;T19-20;I1;Atalanta;Parma;5;0;1,0;1;0,2636;0,5617;0,1746
34314;2020-01-06;T19-20;I1;Bologna;Fiorentina;1;1;0,0;2;0,2665;0,2746;0,459
56140;2020-01-07;T19-20;SP2;Zaragoza;Sp Gijon;2;0;1,0;1;0,2846;0,4203;0,2951
15761;2020-01-10;T19-20;E0;Sheffield United;West Ham;1;0;1,0;1;0,2831;0,508;0,2089
26019;2020-01-10;T19-20;F1;Rennes;Marseille;0;1;2,0;2;0,2644;0,3478;0,3878
26022;2020-01-11;T19-20;F1;Angers;Nice;1;1;0,0;1;0,2798;0,5182;0,202
26021;2020-01-11;T19-20;F1;Amiens;Montpellier;1;2;2,0;1;0,3033;0,3906;0,306
26023;2020-01-11;T19-20;F1;Metz;Strasbourg;1;0;1,0;1;0,3187;0,3528;0,3285
26024;2020-01-11;T19-20;F1;Nimes;Reims;2;0;1,0;1;0,2769;0,527;0,1962
26025;2020-01-11;T19-20;F1;Toulouse;Brest;2;5;2,0;1;0,293;0,4271;0,2799
26020;2020-01-11;T19-20;F1;Bordeaux;Lyon;1;2;2,0;2;0,2828;0,3186;0,3987
34320;2020-01-11;T19-20;I1;Cagliari;Milan;0;2;2,0;2;0,2563;0,2309;0,5128
15766;2020-01-11;T19-20;E0;Man United;Norwich;4;0;1,0;1;0,1755;0,7765;0,048
34322;2020-01-11;T19-20;I1;Inter;Atalanta;1;1;0,0;1;0,1413;0,7912;0,0674
34321;2020-01-11;T19-20;I1;Lazio;Napoli;1;0;1,0;1;0,2545;0,4661;0,2794
15762;2020-01-11;T19-20;E0;Crystal Palace;Arsenal;1;1;0,0;2;0,2486;0,2058;0,5456
15764;2020-01-11;T19-20;E0;Everton;Brighton;1;0;1,0;1;0,2185;0,6388;0,1427
15765;2020-01-11;T19-20;E0;Leicester;Southampton;1;2;2,0;1;0,2783;0,5203;0,2014
15767;2020-01-11;T19-20;E0;Wolves;Newcastle;1;1;0,0;1;0,3147;0,4068;0,2786
15763;2020-01-11;T19-20;E0;Chelsea;Burnley;3;0;1,0;1;0,1616;0,7878;0,0506
15768;2020-01-11;T19-20;E0;Tottenham;Liverpool;0;1;2,0;1;0,2941;0,3642;0,3417
15769;2020-01-12;T19-20;E0;Bournemouth;Watford;0;3;2,0;1;0,3064;0,4221;0,2715
15770;2020-01-12;T19-20;E0;Aston Villa;Man City;1;6;2,0;2;0,2411;0,2211;0,5378
26027;2020-01-12;T19-20;F1;Dijon;Lille;1;0;1,0;2;0,25;0,2471;0,5029
34323;2020-01-12;T19-20;I1;Udinese;Sassuolo;3;0;1,0;1;0,2848;0,491;0,2241
34327;2020-01-12;T19-20;I1;Verona;Genoa;2;1;1,0;1;0,3151;0,3977;0,2872
34326;2020-01-12;T19-20;I1;Torino;Bologna;1;0;1,0;1;0,2975;0,451;0,2514
34325;2020-01-12;T19-20;I1;Sampdoria;Brescia;5;1;1,0;1;0,2626;0,5637;0,1737
34324;2020-01-12;T19-20;I1;Fiorentina;Spal;1;0;1,0;1;0,2109;0,6629;0,1262
26026;2020-01-12;T19-20;F1;St Etienne;Nantes;0;2;2,0;1;0,2328;0,6096;0,1575
34328;2020-01-12;T19-20;I1;Roma;Juventus;1;2;2,0;1;0,3625;0,3833;0,2542
26028;2020-01-12;T19-20;F1;Paris SG;Monaco;3;3;0,0;1;0,2278;0,6534;0,1188
34329;2020-01-13;T19-20;I1;Parma;Lecce;2;0;1,0;1;0,289;0,4862;0,2248
56144;2020-01-14;T19-20;SP2;Las Palmas;Zaragoza;0;1;2,0;1;0,2969;0,413;0,2901
56143;2020-01-14;T19-20;SP2;Malaga;Ponferradina;1;0;1,0;1;0,2563;0,5768;0,1669
56142;2020-01-14;T19-20;SP2;Sp Gijon;Elche;1;0;1,0;1;0,2222;0,6421;0,1357
56141;2020-01-14;T19-20;SP2;Albacete;Fuenlabrada;1;1;0,0;2;0,3074;0,3258;0,3668
26030;2020-01-15;T19-20;F1;Nimes;Rennes;0;1;2,0;1;0,2851;0,4953;0,2197
26029;2020-01-15;T19-20;F1;Amiens;Reims;1;1;0,0;1;0,2909;0,4406;0,2685
56148;2020-01-15;T19-20;SP2;Cadiz;Mirandes;3;3;0,0;1;0,2339;0,6073;0,1588
56147;2020-01-15;T19-20;SP2;Vallecano;Lugo;1;0;1,0;1;0,2438;0,5917;0,1645
56145;2020-01-15;T19-20;SP2;Alcorcon;Numancia;2;2;0,0;1;0,2568;0,5809;0,1623
26031;2020-01-15;T19-20;F1;Monaco;Paris SG;1;4;2,0;2;0,2871;0,3247;0,3882
56146;2020-01-15;T19-20;SP2;Huesca;Tenerife;2;1;1,0;1;0,2594;0,5734;0,1671
56149;2020-01-16;T19-20;SP2;La Coruna;Santander;2;1;1,0;1;0,2497;0,5898;0,1605
56150;2020-01-16;T19-20;SP2;Girona;Extremadura;3;1;1,0;1;0,2349;0,609;0,1561
56151;2020-01-16;T19-20;SP2;Almeria;Oviedo;2;0;1,0;1;0,2363;0,6136;0,1501
5839;2020-01-17;T19-20;D1;Schalke 04;M'gladbach;2;0;1,0;1;0,1929;0,6942;0,1129
44319;2020-01-17;T19-20;SP1;Leganes;Getafe;0;3;2,0;1;0,3008;0,4351;0,2641
56152;2020-01-17;T19-20;SP2;Fuenlabrada;Malaga;0;0;0,0;1;0,3098;0,3762;0,314
34331;2020-01-18;T19-20;I1;Sassuolo;Torino;2;1;1,0;1;0,3021;0,4247;0,2733
56155;2020-01-18;T19-20;SP2;Ponferradina;Vallecano;1;1;0,0;2;0,2958;0,2894;0,4148
56154;2020-01-18;T19-20;SP2;Lugo;Albacete;1;0;1,0;1;0,2897;0,4583;0,252
56153;2020-01-18;T19-20;SP2;Numancia;Sp Gijon;2;0;1,0;1;0,2879;0,4093;0,3029
15771;2020-01-18;T19-20;E0;Watford;Tottenham;0;0;0,0;2;0,2537;0,2489;0,4974
15772;2020-01-18;T19-20;E0;Arsenal;Sheffield United;1;1;0,0;1;0,1443;0,7994;0,0563
15773;2020-01-18;T19-20;E0;Brighton;Aston Villa;1;1;0,0;1;0,2964;0,4492;0,2544
15774;2020-01-18;T19-20;E0;Man City;Crystal Palace;2;2;0,0;1;0,151;0,7738;0,0752
15775;2020-01-18;T19-20;E0;Norwich;Bournemouth;1;0;1,0;1;0,2992;0,4007;0,3001
15777;2020-01-18;T19-20;E0;West Ham;Everton;1;1;0,0;2;0,2889;0,2958;0,4154
15778;2020-01-18;T19-20;E0;Newcastle;Chelsea;1;0;1,0;2;0,2492;0,2089;0,5419
44323;2020-01-18;T19-20;SP1;Eibar;Ath Madrid;2;0;1,0;2;0,2432;0,2501;0,5067
44322;2020-01-18;T19-20;SP1;Osasuna;Valladolid;0;0;0,0;1;0,3216;0,3846;0,2938
44321;2020-01-18;T19-20;SP1;Real Madrid;Sevilla;2;1;1,0;1;0,2145;0,7359;0,0496
34332;2020-01-18;T19-20;I1;Napoli;Fiorentina;0;2;2,0;1;0,2205;0,6081;0,1714
34330;2020-01-18;T19-20;I1;Lazio;Sampdoria;5;1;1,0;1;0,1871;0,7063;0,1066
15776;2020-01-18;T19-20;E0;Southampton;Wolves;2;3;2,0;1;0,2923;0,4517;0,256
44320;2020-01-18;T19-20;SP1;Levante;Alaves;0;1;2,0;1;0,3023;0,3829;0,3148
5841;2020-01-18;T19-20;D1;FC Koln;Wolfsburg;3;1;1,0;1;0,2892;0,3615;0,3493
5845;2020-01-18;T19-20;D1;RB Leipzig;Union Berlin;3;1;1,0;1;0,2415;0,6046;0,1539
5843;2020-01-18;T19-20;D1;Hoffenheim;Ein Frankfurt;1;2;2,0;1;0,26;0,5717;0,1683
5842;2020-01-18;T19-20;D1;Fortuna Dusseldorf;Werder Bremen;0;1;2,0;2;0,2745;0,2541;0,4714
5840;2020-01-18;T19-20;D1;Augsburg;Dortmund;3;5;2,0;2;0,2351;0,2187;0,5462
5844;2020-01-18;T19-20;D1;Mainz;Freiburg;1;2;2,0;1;0,2974;0,4532;0,2494
56157;2020-01-19;T19-20;SP2;La Coruna;Cadiz;1;0;1,0;1;0,2904;0,4273;0,2823
56158;2020-01-19;T19-20;SP2;Oviedo;Huesca;1;1;0,0;1;0,2616;0,5706;0,1678
5846;2020-01-19;T19-20;D1;Hertha;Bayern Munich;0;4;2,0;2;0,2538;0,2505;0,4957
44324;2020-01-19;T19-20;SP1;Mallorca;Valencia;4;1;1,0;2;0,2488;0,2597;0,4915
44325;2020-01-19;T19-20;SP1;Betis;Sociedad;3;0;1,0;1;0,2996;0,4242;0,2762
44326;2020-01-19;T19-20;SP1;Villarreal;Espanol;1;2;2,0;1;0,2275;0,6343;0,1382
44327;2020-01-19;T19-20;SP1;Ath Bilbao;Celta;1;1;0,0;1;0,2573;0,5746;0,1681
44328;2020-01-19;T19-20;SP1;Barcelona;Granada;1;0;1,0;1;0,1794;0,797;0,0236
56161;2020-01-19;T19-20;SP2;Tenerife;Girona;1;0;1,0;1;0,271;0,5352;0,1938
56156;2020-01-19;T19-20;SP2;Elche;Alcorcon;1;1;0,0;1;0,2518;0,5873;0,161
56160;2020-01-19;T19-20;SP2;Extremadura;Almeria;1;2;2,0;2;0,2999;0,2905;0,4096
5847;2020-01-19;T19-20;D1;Paderborn;Leverkusen;1;4;2,0;2;0,2433;0,2425;0,5142
15780;2020-01-19;T19-20;E0;Liverpool;Man United;2;0;1,0;1;0,3447;0,4861;0,1692
34333;2020-01-19;T19-20;I1;Milan;Udinese;3;2;1,0;1;0,1519;0,7749;0,0733
34334;2020-01-19;T19-20;I1;Bologna;Verona;1;1;0,0;1;0,3164;0,3857;0,2979
34335;2020-01-19;T19-20;I1;Brescia;Cagliari;2;2;0,0;1;0,3064;0,4388;0,2548
34336;2020-01-19;T19-20;I1;Lecce;Inter;1;1;0,0;2;0,2631;0,2585;0,4784
34337;2020-01-19;T19-20;I1;Genoa;Roma;1;3;2,0;2;0,2343;0,2067;0,559
15779;2020-01-19;T19-20;E0;Burnley;Leicester;2;1;1,0;1;0,2893;0,4121;0,2986
34338;2020-01-19;T19-20;I1;Juventus;Parma;2;1;1,0;1;0,1642;0,7889;0,0469
56159;2020-01-19;T19-20;SP2;Santander;Las Palmas;1;1;0,0;1;0,2795;0,5189;0,2016
34339;2020-01-20;T19-20;I1;Atalanta;Spal;1;2;2,0;1;0,2651;0,5587;0,1761
15786;2020-01-21;T19-20;E0;Chelsea;Arsenal;2;2;0,0;1;0,2891;0,6075;0,1034
15785;2020-01-21;T19-20;E0;Sheffield United;Man City;0;1;2,0;2;0,2442;0,2624;0,4934
15784;2020-01-21;T19-20;E0;Everton;Newcastle;2;2;0,0;1;0,2306;0,6185;0,1509
15783;2020-01-21;T19-20;E0;Crystal Palace;Southampton;0;2;2,0;1;0,3033;0,4168;0,2799
15782;2020-01-21;T19-20;E0;Bournemouth;Brighton;3;1;1,0;1;0,2934;0,4278;0,2788
15781;2020-01-21;T19-20;E0;Aston Villa;Watford;2;1;1,0;1;0,3087;0,4153;0,276
15789;2020-01-22;T19-20;E0;Man United;Burnley;0;2;2,0;1;0,1636;0,7894;0,047
15788;2020-01-22;T19-20;E0;Tottenham;Norwich;2;1;1,0;1;0,1822;0,7143;0,1035
15787;2020-01-22;T19-20;E0;Leicester;West Ham;4;1;1,0;1;0,2787;0,5226;0,1987
15790;2020-01-23;T19-20;E0;Wolves;Liverpool;1;2;2,0;2;0,2503;0,212;0,5376
5848;2020-01-24;T19-20;D1;Dortmund;FC Koln;5;1;1,0;1;0,2149;0,6909;0,0942
44329;2020-01-24;T19-20;SP1;Osasuna;Levante;2;0;1,0;1;0,3307;0,3826;0,2867
26032;2020-01-24;T19-20;F1;Nice;Rennes;1;1;0,0;1;0,2519;0,5891;0,1589
56162;2020-01-24;T19-20;SP2;Cadiz;Santander;1;0;1,0;1;0,2315;0,6165;0,152
34340;2020-01-24;T19-20;I1;Brescia;Milan;0;1;2,0;2;0,2341;0,2165;0,5495
5851;2020-01-25;T19-20;D1;M'gladbach;Mainz;3;1;1,0;1;0,2575;0,5752;0,1673
5850;2020-01-25;T19-20;D1;Freiburg;Paderborn;0;2;2,0;1;0,289;0,3777;0,3333
5849;2020-01-25;T19-20;D1;Ein Frankfurt;RB Leipzig;2;0;1,0;2;0,2692;0,2655;0,4653
34341;2020-01-25;T19-20;I1;Spal;Bologna;1;3;2,0;1;0,2984;0,449;0,2525
34342;2020-01-25;T19-20;I1;Fiorentina;Genoa;0;0;0,0;1;0,2243;0,6344;0,1413
5853;2020-01-25;T19-20;D1;Wolfsburg;Hertha;1;2;2,0;1;0,2442;0,5925;0,1633
5854;2020-01-25;T19-20;D1;Bayern Munich;Schalke 04;5;0;1,0;1;0,2194;0,7243;0,0563
44333;2020-01-25;T19-20;SP1;Sevilla;Granada;2;0;1,0;1;0,2067;0,6679;0,1254
44332;2020-01-25;T19-20;SP1;Alaves;Villarreal;1;2;2,0;2;0,2733;0,2545;0,4722
44330;2020-01-25;T19-20;SP1;Espanol;Ath Bilbao;1;1;0,0;1;0,2998;0,4055;0,2947
34343;2020-01-25;T19-20;I1;Torino;Atalanta;0;7;2,0;1;0,2941;0,4275;0,2784
5852;2020-01-25;T19-20;D1;Union Berlin;Augsburg;2;0;1,0;1;0,2716;0,5416;0,1868
56163;2020-01-25;T19-20;SP2;Huesca;Lugo;2;1;1,0;1;0,2574;0,5743;0,1682
44331;2020-01-25;T19-20;SP1;Valencia;Barcelona;2;0;1,0;2;0,3169;0,2695;0,4135
56164;2020-01-25;T19-20;SP2;Sp Gijon;Fuenlabrada;1;0;1,0;1;0,2326;0,6041;0,1633
56166;2020-01-25;T19-20;SP2;Zaragoza;Numancia;1;0;1,0;1;0,2375;0,6098;0,1528
56165;2020-01-25;T19-20;SP2;Las Palmas;Tenerife;0;0;0,0;1;0,2572;0,5782;0,1646
26033;2020-01-25;T19-20;F1;Marseille;Angers;0;0;0,0;1;0,1824;0,7098;0,1078
26034;2020-01-25;T19-20;F1;Brest;Amiens;2;1;1,0;1;0,2924;0,4345;0,2731
26035;2020-01-25;T19-20;F1;Monaco;Strasbourg;1;3;2,0;1;0,2052;0,667;0,1277
26036;2020-01-25;T19-20;F1;Montpellier;Dijon;2;1;1,0;1;0,2567;0,5762;0,1671
26037;2020-01-25;T19-20;F1;Reims;Metz;0;1;2,0;1;0,2958;0,465;0,2392
26038;2020-01-25;T19-20;F1;St Etienne;Nimes;2;1;1,0;1;0,2316;0,6204;0,1481
56172;2020-01-26;T19-20;SP2;Girona;Oviedo;1;1;0,0;1;0,2389;0,6085;0,1526
34346;2020-01-26;T19-20;I1;Sampdoria;Sassuolo;0;0;0,0;1;0,2644;0,5597;0,1759
34345;2020-01-26;T19-20;I1;Parma;Udinese;2;0;1,0;1;0,2858;0,4911;0,2231
34344;2020-01-26;T19-20;I1;Inter;Cagliari;1;1;0,0;1;0,2238;0,6868;0,0894
5856;2020-01-26;T19-20;D1;Leverkusen;Fortuna Dusseldorf;3;0;1,0;1;0,1776;0,7205;0,1019
5855;2020-01-26;T19-20;D1;Werder Bremen;Hoffenheim;0;3;2,0;1;0,2291;0,6155;0,1554
26039;2020-01-26;T19-20;F1;Lyon;Toulouse;3;0;1,0;1;0,1776;0,7521;0,0703
34349;2020-01-26;T19-20;I1;Napoli;Juventus;2;1;1,0;2;0,3009;0,3116;0,3875
26040;2020-01-26;T19-20;F1;Nantes;Bordeaux;0;1;2,0;2;0,2642;0,2476;0,4882
26041;2020-01-26;T19-20;F1;Lille;Paris SG;0;2;2,0;1;0,2918;0,367;0,3412
44338;2020-01-26;T19-20;SP1;Valladolid;Real Madrid;0;1;2,0;2;0,2629;0,1886;0,5485
44337;2020-01-26;T19-20;SP1;Sociedad;Mallorca;3;0;1,0;1;0,2594;0,5711;0,1695
44336;2020-01-26;T19-20;SP1;Getafe;Betis;1;0;1,0;1;0,2935;0,4599;0,2466
44335;2020-01-26;T19-20;SP1;Celta;Eibar;0;0;0,0;1;0,2872;0,4572;0,2557
44334;2020-01-26;T19-20;SP1;Ath Madrid;Leganes;0;0;0,0;1;0,1633;0,7464;0,0903
34347;2020-01-26;T19-20;I1;Verona;Lecce;3;0;1,0;1;0,3197;0,4;0,2803
56167;2020-01-26;T19-20;SP2;Malaga;Mirandes;2;2;0,0;1;0,2563;0,5768;0,1669
56168;2020-01-26;T19-20;SP2;Albacete;La Coruna;0;1;2,0;2;0,2894;0,275;0,4356
56169;2020-01-26;T19-20;SP2;Almeria;Elche;0;2;2,0;1;0,2318;0,6185;0,1497
56170;2020-01-26;T19-20;SP2;Alcorcon;Ponferradina;3;1;1,0;1;0,256;0,5772;0,1668
56171;2020-01-26;T19-20;SP2;Vallecano;Extremadura;1;1;0,0;1;0,2397;0,6026;0,1578
34348;2020-01-26;T19-20;I1;Roma;Lazio;1;1;0,0;1;0,2444;0,5961;0,1595
15791;2020-01-29;T19-20;E0;West Ham;Liverpool;0;2;2,0;2;0,2577;0,2272;0,5151
5857;2020-01-31;T19-20;D1;Hertha;Schalke 04;0;0;0,0;2;0,2619;0,3085;0,4296
56173;2020-01-31;T19-20;SP2;Tenerife;Sp Gijon;2;1;1,0;1;0,2902;0,3984;0,3114
26042;2020-01-31;T19-20;F1;Rennes;Nantes;3;2;1,0;1;0,2484;0,5872;0,1644
26048;2020-02-01;T19-20;F1;Strasbourg;Lille;1;2;2,0;2;0,254;0,2495;0,4965
26047;2020-02-01;T19-20;F1;Nimes;Monaco;3;1;1,0;2;0,2652;0,2971;0,4377
5862;2020-02-01;T19-20;D1;Mainz;Bayern Munich;1;3;2,0;2;0,2417;0,1926;0,5657
5861;2020-02-01;T19-20;D1;Hoffenheim;Leverkusen;2;1;1,0;2;0,2604;0,3199;0,4197
5860;2020-02-01;T19-20;D1;Fortuna Dusseldorf;Ein Frankfurt;1;1;0,0;1;0,2979;0,4486;0,2535
5859;2020-02-01;T19-20;D1;Dortmund;Union Berlin;5;0;1,0;1;0,1492;0,7729;0,0779
5858;2020-02-01;T19-20;D1;Augsburg;Werder Bremen;2;1;1,0;2;0,2714;0,2546;0,4739
56176;2020-02-01;T19-20;SP2;Ponferradina;Huesca;3;1;1,0;1;0,298;0,4277;0,2743
56174;2020-02-01;T19-20;SP2;Extremadura;Lugo;1;0;1,0;1;0,2873;0,468;0,2446
5863;2020-02-01;T19-20;D1;RB Leipzig;M'gladbach;2;2;0,0;1;0,2378;0,6002;0,162
56175;2020-02-01;T19-20;SP2;La Coruna;Las Palmas;2;1;1,0;1;0,2482;0,59;0,1618
15799;2020-02-01;T19-20;E0;Man United;Wolves;0;0;0,0;1;0,1604;0,7929;0,0467
26043;2020-02-01;T19-20;F1;Paris SG;Montpellier;5;0;1,0;1;0,1432;0,7937;0,0631
44340;2020-02-01;T19-20;SP1;Real Madrid;Ath Madrid;1;0;1,0;1;0,2981;0,6454;0,0565
44339;2020-02-01;T19-20;SP1;Granada;Espanol;2;1;1,0;1;0,3406;0,3741;0,2853
26046;2020-02-01;T19-20;F1;Dijon;Brest;3;0;1,0;1;0,2934;0,4278;0,2788
26045;2020-02-01;T19-20;F1;Angers;Reims;1;4;2,0;1;0,2817;0,5077;0,2106
26044;2020-02-01;T19-20;F1;Amiens;Toulouse;0;0;0,0;1;0,2968;0,4538;0,2495
44341;2020-02-01;T19-20;SP1;Mallorca;Valladolid;0;1;2,0;1;0,2973;0,4544;0,2483
34352;2020-02-01;T19-20;I1;Sassuolo;Roma;4;2;1,0;2;0,2338;0,2071;0,5591
34351;2020-02-01;T19-20;I1;Cagliari;Parma;2;2;0,0;1;0,3123;0,383;0,3047
15792;2020-02-01;T19-20;E0;Leicester;Chelsea;2;2;0,0;2;0,2539;0,228;0,5181
56177;2020-02-01;T19-20;SP2;Elche;Malaga;2;0;1,0;1;0,2753;0,5244;0,2004
15798;2020-02-01;T19-20;E0;West Ham;Brighton;3;3;0,0;1;0,2898;0,3962;0,3139
15797;2020-02-01;T19-20;E0;Watford;Everton;2;3;2,0;2;0,2901;0,2886;0,4213
15796;2020-02-01;T19-20;E0;Newcastle;Norwich;0;0;0,0;1;0,2947;0,4602;0,2451
15795;2020-02-01;T19-20;E0;Liverpool;Southampton;4;0;1,0;1;0,1493;0,7943;0,0563
15794;2020-02-01;T19-20;E0;Crystal Palace;Sheffield United;0;1;2,0;1;0,2989;0,3901;0,3109
15793;2020-02-01;T19-20;E0;Bournemouth;Aston Villa;2;1;1,0;1;0,3096;0,426;0,2644
34350;2020-02-01;T19-20;I1;Bologna;Brescia;2;1;1,0;1;0,2986;0,3976;0,3039
44342;2020-02-01;T19-20;SP1;Valencia;Celta;1;0;1,0;1;0,1753;0,727;0,0977
56182;2020-02-02;T19-20;SP2;Oviedo;Albacete;3;1;1,0;1;0,2586;0,5726;0,1688
44348;2020-02-02;T19-20;SP1;Barcelona;Levante;2;1;1,0;1;0,2012;0,7728;0,026
44347;2020-02-02;T19-20;SP1;Villarreal;Osasuna;3;1;1,0;1;0,2256;0,6378;0,1366
44346;2020-02-02;T19-20;SP1;Sevilla;Alaves;1;1;0,0;1;0,1993;0,6861;0,1146
44345;2020-02-02;T19-20;SP1;Ath Bilbao;Getafe;0;2;2,0;1;0,2585;0,5728;0,1686
44344;2020-02-02;T19-20;SP1;Eibar;Betis;1;1;0,0;1;0,2942;0,4543;0,2515
56179;2020-02-02;T19-20;SP2;Cadiz;Zaragoza;1;1;0,0;1;0,271;0,4907;0,2383
5864;2020-02-02;T19-20;D1;FC Koln;Freiburg;4;0;1,0;1;0,3446;0,369;0,2864
34358;2020-02-02;T19-20;I1;Udinese;Inter;0;2;2,0;2;0,2432;0,2353;0,5215
34357;2020-02-02;T19-20;I1;Lecce;Torino;4;0;1,0;1;0,3064;0,3747;0,319
34356;2020-02-02;T19-20;I1;Milan;Verona;1;1;0,0;1;0,1654;0,7568;0,0778
34355;2020-02-02;T19-20;I1;Lazio;Spal;5;1;1,0;1;0,1826;0,7114;0,106
34354;2020-02-02;T19-20;I1;Atalanta;Genoa;2;2;0,0;1;0,263;0,5635;0,1734
34353;2020-02-02;T19-20;I1;Juventus;Fiorentina;3;0;1,0;1;0,1628;0,7834;0,0538
44343;2020-02-02;T19-20;SP1;Leganes;Sociedad;2;1;1,0;1;0,2961;0,4304;0,2735
5865;2020-02-02;T19-20;D1;Paderborn;Wolfsburg;2;4;2,0;1;0,3056;0,3738;0,3207
56183;2020-02-02;T19-20;SP2;Santander;Alcorcon;1;1;0,0;1;0,283;0,5046;0,2124
56178;2020-02-02;T19-20;SP2;Fuenlabrada;Girona;0;1;2,0;1;0,3093;0,3724;0,3183
15800;2020-02-02;T19-20;E0;Burnley;Arsenal;0;0;0,0;2;0,2525;0,2097;0,5379
15801;2020-02-02;T19-20;E0;Tottenham;Man City;2;0;1,0;1;0,2806;0,4297;0,2897
56180;2020-02-02;T19-20;SP2;Mirandes;Vallecano;0;0;0,0;2;0,2892;0,2749;0,4359
56181;2020-02-02;T19-20;SP2;Numancia;Almeria;1;1;0,0;1;0,2699;0,526;0,2041
26049;2020-02-02;T19-20;F1;Nice;Lyon;2;1;1,0;2;0,2626;0,2782;0,4592
26050;2020-02-02;T19-20;F1;Metz;St Etienne;3;1;1,0;2;0,2926;0,3121;0,3954
26051;2020-02-02;T19-20;F1;Bordeaux;Marseille;0;0;0,0;1;0,2663;0,4098;0,3239
34359;2020-02-03;T19-20;I1;Sampdoria;Napoli;2;4;2,0;2;0,2551;0,297;0,4479
26052;2020-02-04;T19-20;F1;Lille;Rennes;1;0;1,0;1;0,1902;0,6936;0,1162
