matchId;pagerank_H;pagerank_A
0;0,3860949975207131;0,4579990777443312
42;1,0;0,4579990777443312
24;0,3389390856444194;0,4579990777443312
23;0,3860949975207131;0,2825560523102023
3;0,836186671047609;0,2825560523102023
39;0,3389390856444194;0,2825560523102023
48;0,3860949975207131;0,3854504056844448
29;0,2825560523102023;0,3854504056844448
17;0,4579990777443312;0,3854504056844448
1;0,2521821382730905;0,3421904702636249
53;0,7932984893861232;0,3421904702636249
33;0,21792181287058;0,3421904702636249
22;0,2521821382730905;0,21792181287058
5;1,0;0,21792181287058
37;0,2521821382730905;0,7932984893861232
20;1,0;0,7932984893861232
7;0,3389390856444194;0,7932984893861232
2;0,2597410208425278;0,370811601463381
19;0,2780007732929049;0,370811601463381
43;0,3421904702636249;0,370811601463381
25;0,836186671047609;0,216471947538603
44;0,3854504056844448;0,216471947538603
10;0,2825560523102023;0,216471947538603
41;0,836186671047609;0,3860949975207131
32;0,216471947538603;0,3860949975207131
50;0,216471947538603;0,3389390856444194
45;0,2825560523102023;0,2597410208425278
14;0,7932984893861232;0,2597410208425278
35;0,4579990777443312;0,2597410208425278
12;0,3421904702636249;0,836186671047609
51;0,21792181287058;0,836186671047609
13;0,370811601463381;1,0
31;0,370811601463381;0,2521821382730905
27;0,7932984893861232;0,2780007732929049
15;0,21792181287058;0,2780007732929049
52;0,4579990777443312;0,2780007732929049
54;0,4051614123611596;0,6179381897794609
91;0,752842679261148;0,6179381897794609
115;0,5166294008553242;0,6179381897794609
76;0,5323484053776025;0,6179381897794609
83;0,4051614123611596;0,4538459798332677
93;0,5525733233981319;0,4538459798332677
113;0,4580207060979761;0,4538459798332677
63;0,6179381897794609;0,4538459798332677
107;0,4051614123611596;0,4580207060979761
82;0,6179381897794609;0,4580207060979761
65;0,6115160425545755;0,4580207060979761
120;0,4051614123611596;0,7573990073241691
99;0,6179381897794609;0,7573990073241691
89;0,6115160425545755;0,7573990073241691
70;0,6015709715007562;0,7573990073241691
55;0,752842679261148;0,6015709715007562
79;0,5166294008553242;0,6015709715007562
109;0,3118332719486417;0,6015709715007562
96;0,8151372310693626;0,6015709715007562
73;0,752842679261148;0,6115160425545755
92;0,5166294008553242;0,6115160425545755
60;0,5323484053776025;0,6115160425545755
108;0,8151372310693626;0,6115160425545755
110;0,752842679261148;0,4051614123611596
74;0,5525733233981319;0,4051614123611596
90;0,5323484053776025;0,4051614123611596
67;0,5568435980084753;0,4051614123611596
56;0,5166294008553242;0,4084525033953419
77;0,8151372310693626;0,4084525033953419
103;0,6015709715007562;0,4084525033953419
57;0,5525733233981319;0,5568435980084753
112;0,7573990073241691;0,5568435980084753
95;0,4580207060979761;0,5568435980084753
80;0,4538459798332677;0,5568435980084753
111;0,5525733233981319;0,5323484053776025
102;0,4538459798332677;0,5323484053776025
85;0,5568435980084753;0,5323484053776025
69;0,5583442734381153;0,5323484053776025
58;0,7573990073241691;0,3118332719486417
78;0,6247523349434143;0,3118332719486417
118;0,173983178850249;0,3118332719486417
97;0,4084525033953419;0,3118332719486417
75;0,7573990073241691;0,173983178850249
59;0,4580207060979761;0,173983178850249
98;0,6247523349434143;0,173983178850249
116;0,4084525033953419;0,173983178850249
94;0,7573990073241691;0,5583442734381153
72;0,4580207060979761;0,5583442734381153
61;0,4538459798332677;0,5583442734381153
114;0,6247523349434143;0,5583442734381153
121;0,4538459798332677;0,752842679261148
66;0,173983178850249;0,752842679261148
104;0,5568435980084753;0,752842679261148
87;0,5583442734381153;0,752842679261148
62;0,6247523349434143;0,8151372310693626
88;0,3118332719486417;0,8151372310693626
106;0,173983178850249;0,8151372310693626
119;0,6179381897794609;0,6247523349434143
101;0,6115160425545755;0,6247523349434143
84;0,6015709715007562;0,6247523349434143
71;0,4084525033953419;0,6247523349434143
64;0,3118332719486417;0,5166294008553242
81;0,173983178850249;0,5166294008553242
117;0,5568435980084753;0,5166294008553242
105;0,5583442734381153;0,5166294008553242
100;0,3118332719486417;0,5525733233981319
68;0,8151372310693626;0,5525733233981319
122;0,6015709715007562;0,5525733233981319
86;0,4084525033953419;0,5525733233981319
123;0,5923291610481854;0,5210143843090103
136;0,6479501089242293;0,5210143843090103
135;0,5923291610481854;0,5266889696792362
132;0,5507537976076607;0,5266889696792362
154;0,5923291610481854;0,5617596757285496
147;0,7391982119582426;0,5617596757285496
133;0,6767644138213952;0,5617596757285496
124;0,7037519486679237;0,6767644138213952
155;0,408243901363361;0,6767644138213952
151;0,656652897099486;0,6767644138213952
141;0,7037519486679237;0,656652897099486
125;0,5671006176299564;0,4965785058287711
139;0,6164597722470856;0,4965785058287711
142;0,5671006176299564;0,5134010318070678
126;0,5134010318070678;0,5923291610481854
149;0,5507537976076607;0,5923291610481854
146;0,5134010318070678;0,6479501089242293
130;0,4965785058287711;0,6479501089242293
156;0,5266889696792362;0,6479501089242293
153;0,5134010318070678;0,6164597722470856
131;0,6090279989109412;0,6164597722470856
144;0,5210143843090103;0,6164597722470856
127;0,7391982119582426;0,7037519486679237
148;0,408243901363361;0,7037519486679237
158;0,6090279989109412;0,7037519486679237
128;0,408243901363361;0,5316879855246837
143;0,4965785058287711;0,5316879855246837
152;0,5210143843090103;0,5316879855246837
129;0,656652897099486;0,5880211444921629
157;0,4965785058287711;0,5880211444921629
145;0,6090279989109412;0,5880211444921629
160;0,656652897099486;0,7391982119582426
138;0,6767644138213952;0,7391982119582426
159;0,5507537976076607;0,5671006176299564
161;0,5210143843090103;0,5671006176299564
150;0,5266889696792362;0,5671006176299564
134;0,5316879855246837;0,6090279989109412
137;0,5880211444921629;0,408243901363361
140;0,5617596757285496;0,5507537976076607
162;0,808915276308429;0,4301093691003562
188;0,5083951959864942;0,4301093691003562
205;0,8152511235409359;0,4301093691003562
221;0,580962653929967;0,4301093691003562
186;0,808915276308429;0,4335491494920686
201;0,5083951959864942;0,4335491494920686
224;0,8152511235409359;0,4335491494920686
168;0,6724563935270619;0,4335491494920686
203;0,808915276308429;0,6475954435370619
220;0,5083951959864942;0,6475954435370619
171;0,4335491494920686;0,6475954435370619
214;0,808915276308429;0,6087896751129263
191;0,6475954435370619;0,6087896751129263
229;0,6042309973469555;0,6087896751129263
176;0,6724563935270619;0,6087896751129263
231;0,808915276308429;0,5083951959864942
212;0,6724563935270619;0,5083951959864942
172;0,6446030499338156;0,5083951959864942
190;0,421245032342832;0,5083951959864942
163;0,9836313243438164;0,4678236421260002
182;0,6087896751129263;0,4678236421260002
